id,positiveeffects1,positiveeffects2,positiveeffects3,positiveeffects4,positiveeffects5
1,Relaxed,Hungry,Happy,Sleepy,
2,Euphoric,Happy,Creative,Energetic,Talkative
3,Relaxed,Hungry,Euphoric,Uplifted,Tingly
4,Relaxed,Happy,Creative,Uplifted,Sleepy
5,Relaxed,Euphoric,Happy,Energetic,Uplifted
6,Euphoric,Happy,Creative,Uplifted,Focused
8,Relaxed,Euphoric,Happy,Energetic,Focused
9,Relaxed,Euphoric,Creative,Tingly,Focused
10,Euphoric,Happy,Creative,Energetic,Uplifted
11,Relaxed,Euphoric,Happy,Energetic,Uplifted
12,Relaxed,Hungry,Euphoric,Happy,Focused
13,Relaxed,Hungry,Uplifted,Tingly,Sleepy
14,Relaxed,Euphoric,Happy,Creative,Giggly
15,Relaxed,Euphoric,Happy,Uplifted,Focused
16,Relaxed,Happy,Creative,Focused,
17,Hungry,Euphoric,Creative,Aroused,
18,Euphoric,Happy,Creative,Energetic,Giggly
19,Relaxed,Euphoric,Sleepy,Focused,Giggly
20,Relaxed,Euphoric,Happy,Uplifted,Sleepy
21,Relaxed,Euphoric,Happy,Uplifted,Focused
22,Relaxed,Euphoric,Happy,Uplifted,
23,Euphoric,Happy,Creative,Energetic,Talkative
24,Relaxed,Euphoric,Uplifted,Sleepy,Giggly
25,Relaxed,Euphoric,Happy,Uplifted,Focused
26,Relaxed,Euphoric,Happy,Creative,Uplifted
27,Relaxed,Hungry,Euphoric,Happy,Creative
28,Relaxed,Euphoric,Happy,Uplifted,Sleepy
29,Relaxed,Euphoric,Happy,Creative,Uplifted
30,Euphoric,Happy,Creative,Uplifted,
31,Relaxed,Happy,Uplifted,Giggly,
32,Relaxed,Happy,Tingly,Focused,
33,Euphoric,Happy,Creative,Energetic,Uplifted
34,Relaxed,Happy,Sleepy,,
35,Relaxed,Happy,Creative,Energetic,Uplifted
36,Relaxed,Happy,Creative,Energetic,Uplifted
37,Relaxed,Euphoric,Happy,Energetic,Giggly
38,Relaxed,Happy,Energetic,Uplifted,Focused
40,Happy,Creative,Energetic,Uplifted,Focused
41,Relaxed,Hungry,Euphoric,Happy,Creative
42,Euphoric,Creative,Energetic,Uplifted,Aroused
43,Relaxed,Euphoric,Happy,Creative,Uplifted
44,Relaxed,Hungry,Euphoric,Happy,Tingly
45,Relaxed,Euphoric,Happy,Creative,Focused
46,Relaxed,Happy,Tingly,Sleepy,
47,Relaxed,Euphoric,Creative,Focused,Aroused
50,Relaxed,Euphoric,Happy,Energetic,Uplifted
52,Euphoric,Happy,Creative,Energetic,Uplifted
53,Relaxed,Creative,Energetic,Sleepy,Aroused
54,Relaxed,Hungry,Euphoric,Happy,Sleepy
55,Relaxed,Hungry,Euphoric,Happy,Sleepy
56,Relaxed,Euphoric,Happy,Sleepy,
57,Relaxed,Euphoric,Happy,Uplifted,Sleepy
58,Relaxed,Euphoric,Happy,Sleepy,Aroused
59,Relaxed,Euphoric,Happy,Creative,Giggly
60,Relaxed,Euphoric,Happy,Uplifted,
61,Relaxed,Euphoric,Happy,Energetic,Giggly
62,Relaxed,Hungry,Euphoric,Happy,Creative
63,Euphoric,Happy,Creative,Energetic,Focused
64,Euphoric,Happy,Creative,Talkative,Uplifted
65,Relaxed,Euphoric,Happy,Tingly,
66,Relaxed,Sleepy,Focused,,
68,Relaxed,Hungry,Euphoric,Creative,Energetic
69,Relaxed,Happy,Creative,Energetic,Focused
70,Relaxed,Happy,Talkative,Uplifted,Giggly
71,Relaxed,Happy,Energetic,Uplifted,Focused
72,Relaxed,Happy,Energetic,Uplifted,
73,Relaxed,Happy,Energetic,Uplifted,Focused
74,Relaxed,Euphoric,Happy,Talkative,Uplifted
75,Relaxed,Euphoric,Sleepy,Aroused,
76,Relaxed,Euphoric,Happy,Uplifted,Sleepy
77,Relaxed,Hungry,Euphoric,Happy,Talkative
78,Relaxed,Hungry,Happy,Talkative,Focused
79,Happy,Creative,Energetic,Tingly,Focused
80,Relaxed,Happy,Talkative,Uplifted,
81,Relaxed,Euphoric,Creative,Uplifted,Tingly
82,Relaxed,Happy,Energetic,Uplifted,
83,Relaxed,Hungry,Euphoric,Happy,Uplifted
84,Relaxed,Hungry,Happy,Creative,Focused
85,Relaxed,Happy,Energetic,Talkative,Uplifted
86,Relaxed,Euphoric,Happy,Sleepy,Aroused
87,Hungry,Uplifted,Tingly,Giggly,Aroused
88,Relaxed,Happy,Creative,Energetic,Focused
89,Relaxed,Euphoric,Happy,Uplifted,Aroused
90,Relaxed,Hungry,Happy,Uplifted,
91,Relaxed,Euphoric,Energetic,Focused,
92,Relaxed,Hungry,Euphoric,Happy,Sleepy
93,Relaxed,Happy,Uplifted,Sleepy,Giggly
94,Relaxed,Euphoric,Happy,Uplifted,Giggly
95,Relaxed,Euphoric,Happy,Uplifted,Sleepy
96,Euphoric,Happy,Creative,Uplifted,Aroused
97,Relaxed,Happy,Creative,Uplifted,Sleepy
98,Relaxed,Hungry,Happy,Creative,Uplifted
99,Euphoric,Happy,Creative,Uplifted,Giggly
100,Relaxed,Hungry,Euphoric,Happy,Giggly
101,Relaxed,Happy,Energetic,Talkative,
102,Relaxed,Euphoric,Happy,Creative,Uplifted
103,Relaxed,Euphoric,Happy,Uplifted,Tingly
104,Relaxed,Happy,Creative,Uplifted,Focused
105,Relaxed,Euphoric,Happy,Uplifted,Sleepy
106,Relaxed,Euphoric,Happy,Creative,Uplifted
107,Relaxed,Hungry,Happy,Uplifted,Focused
108,Relaxed,Euphoric,Happy,Creative,Tingly
109,Euphoric,Creative,Energetic,Focused,Giggly
110,Relaxed,Hungry,Euphoric,Happy,Sleepy
112,Relaxed,Happy,Creative,Sleepy,Giggly
113,Relaxed,Happy,Creative,Energetic,Uplifted
114,Relaxed,Hungry,Euphoric,Happy,Focused
115,Relaxed,Euphoric,Happy,Uplifted,Sleepy
116,Relaxed,Euphoric,Happy,Uplifted,Giggly
117,Relaxed,Euphoric,Happy,Energetic,Giggly
118,Relaxed,Hungry,Happy,Tingly,Sleepy
119,Relaxed,Happy,Creative,Energetic,Uplifted
120,Relaxed,Hungry,Sleepy,,
121,Euphoric,Happy,Uplifted,Sleepy,Giggly
122,Happy,Creative,Energetic,Uplifted,
123,Relaxed,Hungry,Euphoric,Happy,Creative
124,Relaxed,Hungry,Euphoric,Sleepy,Focused
125,Relaxed,Euphoric,Happy,Creative,Sleepy
126,Relaxed,Euphoric,Happy,Creative,Uplifted
128,Euphoric,Creative,Energetic,Uplifted,Focused
129,Relaxed,Happy,Creative,Energetic,Uplifted
130,Relaxed,Hungry,Tingly,Sleepy,
135,Relaxed,Creative,Tingly,Aroused,
138,Happy,Talkative,,,
143,Relaxed,Happy,Uplifted,Tingly,Focused
145,Relaxed,Happy,Sleepy,,
147,Relaxed,Euphoric,Happy,Aroused,
148,,,,,
150,Relaxed,Focused,,,
151,Relaxed,Happy,Energetic,Uplifted,
152,,,,,
156,Euphoric,Happy,Energetic,Uplifted,Giggly
159,Euphoric,Happy,Creative,Uplifted,
161,Relaxed,Hungry,Happy,Uplifted,Giggly
162,Relaxed,Hungry,Uplifted,Focused,
166,Relaxed,Euphoric,Creative,Tingly,Focused
167,Relaxed,Euphoric,Happy,Energetic,Aroused
168,Euphoric,Focused,Giggly,,
170,Relaxed,Happy,Sleepy,Focused,Giggly
171,Relaxed,Hungry,Uplifted,Sleepy,Giggly
175,Hungry,Euphoric,Happy,,
177,Happy,Energetic,Uplifted,Tingly,Aroused
178,Relaxed,Euphoric,Uplifted,Tingly,Focused
180,Relaxed,Hungry,Euphoric,Happy,Energetic
181,Relaxed,Euphoric,Creative,Uplifted,
183,Hungry,Euphoric,Happy,Creative,Energetic
184,Relaxed,Uplifted,,,
187,Relaxed,Happy,Tingly,Sleepy,Giggly
189,Happy,Energetic,Talkative,Uplifted,
190,Relaxed,Hungry,Creative,Uplifted,
192,Relaxed,Euphoric,Happy,Uplifted,Sleepy
193,Relaxed,Euphoric,Focused,,
194,Relaxed,Hungry,Happy,Creative,Uplifted
196,Relaxed,Euphoric,Happy,Tingly,Giggly
198,Relaxed,Euphoric,Happy,Creative,Uplifted
200,Euphoric,Aroused,,,
202,Relaxed,Euphoric,Happy,Uplifted,Tingly
203,Relaxed,Euphoric,Happy,Uplifted,Focused
205,Relaxed,Happy,Creative,Focused,Giggly
206,Euphoric,Creative,Energetic,Uplifted,Giggly
211,Relaxed,Euphoric,Happy,Tingly,Giggly
212,Relaxed,Hungry,Euphoric,Happy,Uplifted
221,Hungry,Euphoric,Happy,,
222,Relaxed,Happy,Energetic,Uplifted,Aroused
223,Relaxed,Euphoric,Happy,Uplifted,
224,Hungry,Euphoric,Happy,Uplifted,Focused
225,Hungry,Creative,Energetic,Focused,
226,Euphoric,Happy,Energetic,Aroused,
227,Euphoric,Creative,Energetic,Uplifted,
232,Happy,Uplifted,Tingly,Focused,
234,Relaxed,Euphoric,Happy,,
236,Relaxed,Euphoric,Happy,Creative,
237,Happy,Creative,Energetic,Talkative,Aroused
239,Relaxed,Energetic,Uplifted,Focused,
240,Relaxed,Uplifted,Focused,,
241,Relaxed,Creative,Sleepy,Aroused,
242,Euphoric,Creative,Energetic,Uplifted,Focused
243,Relaxed,Hungry,Euphoric,Happy,Giggly
244,Relaxed,Euphoric,Happy,Sleepy,
245,Relaxed,Hungry,Euphoric,Happy,Sleepy
246,Relaxed,Euphoric,Happy,Uplifted,Sleepy
247,Euphoric,Happy,Talkative,Uplifted,
248,Relaxed,Euphoric,Happy,Uplifted,Sleepy
249,Relaxed,Creative,Aroused,,
250,Hungry,Creative,Energetic,Talkative,Uplifted
251,Relaxed,Creative,Uplifted,Tingly,
252,Happy,Creative,Tingly,Giggly,Aroused
253,Relaxed,Happy,Creative,Uplifted,Focused
254,Relaxed,Uplifted,Sleepy,,
255,Relaxed,Euphoric,Happy,Uplifted,Sleepy
256,Relaxed,Euphoric,Energetic,Focused,Aroused
257,Relaxed,Euphoric,Happy,Energetic,Uplifted
258,Relaxed,Euphoric,Happy,Uplifted,Sleepy
259,Relaxed,Hungry,Euphoric,Sleepy,Aroused
261,Relaxed,Euphoric,Happy,Uplifted,Giggly
262,Relaxed,Hungry,Happy,Sleepy,
263,Relaxed,Hungry,Euphoric,Sleepy,
264,Euphoric,Happy,Energetic,Talkative,Uplifted
265,Relaxed,Euphoric,Happy,Tingly,Sleepy
266,Relaxed,Euphoric,Happy,Creative,Uplifted
267,Relaxed,Euphoric,Happy,Uplifted,Sleepy
268,Relaxed,Euphoric,Happy,Creative,Uplifted
269,Relaxed,Euphoric,Happy,Uplifted,Focused
270,Relaxed,Happy,Sleepy,Focused,
271,Relaxed,Hungry,Euphoric,Happy,Uplifted
272,Relaxed,Euphoric,Happy,Creative,Uplifted
273,Relaxed,Euphoric,Happy,Uplifted,Sleepy
274,Relaxed,Euphoric,Happy,Uplifted,Focused
275,Relaxed,Hungry,Happy,Sleepy,
276,Relaxed,Euphoric,Happy,Creative,Uplifted
277,Relaxed,Euphoric,Happy,Uplifted,Sleepy
278,Relaxed,Euphoric,Happy,Uplifted,Tingly
279,Relaxed,Euphoric,Happy,Uplifted,
280,Relaxed,Hungry,Euphoric,Happy,Sleepy
281,Relaxed,Euphoric,Happy,Uplifted,Sleepy
282,Relaxed,Euphoric,Happy,Uplifted,Sleepy
283,Relaxed,Euphoric,Happy,Uplifted,Sleepy
284,Relaxed,Hungry,Happy,Sleepy,Giggly
285,Relaxed,Euphoric,Happy,Uplifted,Focused
286,Relaxed,Euphoric,Happy,Uplifted,Sleepy
287,Relaxed,Euphoric,Happy,Uplifted,Sleepy
288,Relaxed,Euphoric,Happy,Uplifted,Tingly
289,Relaxed,Euphoric,Happy,Uplifted,Sleepy
290,Relaxed,Hungry,Happy,Talkative,Sleepy
291,Relaxed,Creative,Energetic,Uplifted,Giggly
293,Euphoric,Happy,Energetic,Uplifted,Sleepy
294,Relaxed,Hungry,Happy,Uplifted,Tingly
295,Relaxed,Hungry,Euphoric,Happy,Sleepy
296,Relaxed,Euphoric,Happy,Talkative,Uplifted
297,Relaxed,Hungry,Euphoric,Happy,Creative
298,Relaxed,Hungry,Happy,Creative,
299,Relaxed,Euphoric,Happy,Energetic,Uplifted
300,Relaxed,Euphoric,Happy,Uplifted,Sleepy
301,Relaxed,Hungry,Euphoric,Happy,Sleepy
302,Euphoric,Creative,Energetic,Uplifted,Focused
303,Relaxed,Euphoric,Happy,Creative,Talkative
304,Relaxed,Euphoric,Creative,,
305,Relaxed,Hungry,Euphoric,Happy,Sleepy
306,Relaxed,Euphoric,Happy,Creative,Focused
307,Relaxed,Hungry,Happy,Talkative,Focused
308,Relaxed,Euphoric,Happy,Uplifted,Sleepy
309,Relaxed,Happy,Creative,Uplifted,Focused
310,Relaxed,Euphoric,Happy,Uplifted,Sleepy
311,Relaxed,Hungry,Euphoric,Sleepy,
312,Euphoric,Happy,Creative,Uplifted,Sleepy
313,Hungry,Happy,Creative,Uplifted,Giggly
314,Relaxed,Euphoric,Happy,Creative,Sleepy
315,Happy,Creative,Talkative,Uplifted,Giggly
316,Relaxed,Happy,Creative,,
317,Euphoric,Happy,Creative,Energetic,Uplifted
318,Relaxed,Euphoric,Happy,Uplifted,Sleepy
319,Happy,Creative,Energetic,Uplifted,Focused
320,Relaxed,Euphoric,Happy,Creative,Uplifted
321,Relaxed,Happy,Energetic,Talkative,Focused
322,Relaxed,Euphoric,Happy,Uplifted,Sleepy
323,Relaxed,Euphoric,Happy,Creative,Uplifted
324,Relaxed,Happy,Energetic,Uplifted,Focused
325,Relaxed,Euphoric,Happy,Uplifted,Tingly
326,Relaxed,Euphoric,Happy,Creative,Uplifted
327,Relaxed,Euphoric,Happy,Sleepy,
328,Relaxed,Euphoric,Happy,Talkative,Uplifted
329,Relaxed,Euphoric,Happy,Uplifted,
330,Relaxed,Euphoric,Happy,Tingly,Sleepy
331,Relaxed,Euphoric,Happy,Creative,Uplifted
332,Relaxed,Hungry,Happy,Tingly,Sleepy
333,Relaxed,Euphoric,Happy,Energetic,Uplifted
334,Relaxed,Euphoric,Happy,Uplifted,Sleepy
335,Relaxed,Happy,Talkative,Uplifted,Giggly
336,Relaxed,Hungry,Focused,,
337,Relaxed,Euphoric,Uplifted,Sleepy,Focused
338,Relaxed,Euphoric,Creative,Talkative,Focused
339,Relaxed,Happy,Uplifted,Sleepy,Focused
340,Relaxed,Hungry,Euphoric,Sleepy,
341,Relaxed,Euphoric,Happy,Uplifted,Aroused
342,Relaxed,Euphoric,Happy,Uplifted,Giggly
343,Relaxed,Euphoric,Energetic,Uplifted,Focused
344,Relaxed,Euphoric,Happy,Uplifted,
345,Relaxed,Hungry,Happy,Talkative,
346,Relaxed,Happy,Giggly,,
347,Relaxed,Euphoric,Happy,,
348,Relaxed,Euphoric,Happy,Creative,Giggly
349,Relaxed,Happy,Energetic,Uplifted,Sleepy
350,Relaxed,Euphoric,Creative,Talkative,Uplifted
352,Relaxed,Euphoric,Happy,Creative,Sleepy
353,Relaxed,Euphoric,Sleepy,Giggly,
354,Relaxed,Hungry,Euphoric,Happy,Tingly
355,Relaxed,Hungry,Euphoric,Happy,Sleepy
356,Relaxed,Euphoric,Happy,Uplifted,Sleepy
357,Euphoric,Happy,Creative,Energetic,Focused
358,Relaxed,Happy,Creative,Uplifted,Giggly
359,Relaxed,Euphoric,Creative,Uplifted,
360,Relaxed,Happy,Creative,Energetic,Talkative
361,Relaxed,Hungry,Euphoric,Happy,Tingly
363,Relaxed,Hungry,Creative,Uplifted,Focused
364,Relaxed,Hungry,Happy,Uplifted,Giggly
365,Relaxed,Hungry,Euphoric,Happy,Uplifted
366,Relaxed,Hungry,Euphoric,Happy,Uplifted
367,Relaxed,Euphoric,Happy,Uplifted,Focused
368,Creative,Energetic,Talkative,,
369,Relaxed,Hungry,Euphoric,Talkative,Aroused
370,Relaxed,Euphoric,Happy,Uplifted,Sleepy
371,Relaxed,Hungry,Euphoric,Happy,Aroused
372,Euphoric,Happy,Energetic,Uplifted,
373,Relaxed,Euphoric,Happy,Creative,Uplifted
374,Relaxed,Euphoric,Happy,Creative,Uplifted
375,Relaxed,Happy,Creative,Uplifted,Focused
376,Relaxed,Euphoric,Happy,Uplifted,
377,Relaxed,Euphoric,Happy,Energetic,Uplifted
378,Relaxed,Euphoric,Happy,Uplifted,Giggly
379,Happy,Talkative,Uplifted,Tingly,Giggly
380,Relaxed,Hungry,Euphoric,Happy,Sleepy
381,Relaxed,Hungry,Euphoric,Happy,Uplifted
382,Relaxed,Euphoric,Happy,Uplifted,Focused
383,Relaxed,Hungry,Happy,Sleepy,Giggly
384,Relaxed,Hungry,Euphoric,Happy,Focused
385,Relaxed,Euphoric,Happy,Energetic,Uplifted
386,Relaxed,Happy,Energetic,,
387,Relaxed,Euphoric,Happy,Uplifted,Giggly
388,Euphoric,Happy,Talkative,Uplifted,Giggly
389,Relaxed,Hungry,Euphoric,Happy,Uplifted
390,Hungry,Happy,Talkative,Focused,
392,Relaxed,Hungry,Euphoric,Happy,Uplifted
393,Euphoric,Happy,Energetic,Focused,Giggly
394,Hungry,Happy,Creative,,
395,Relaxed,Happy,Creative,Energetic,Uplifted
396,Happy,Talkative,Uplifted,Sleepy,Giggly
397,Relaxed,Hungry,Happy,Sleepy,Giggly
398,Relaxed,Euphoric,Happy,Energetic,Uplifted
400,Hungry,Euphoric,Sleepy,Giggly,
401,Relaxed,Euphoric,Happy,Uplifted,Giggly
402,Relaxed,Hungry,Happy,Creative,Uplifted
403,Relaxed,Happy,Creative,Energetic,Uplifted
404,Relaxed,Hungry,Happy,Sleepy,
405,Happy,Energetic,Talkative,Uplifted,
406,Relaxed,Hungry,Euphoric,Happy,Uplifted
407,Relaxed,Hungry,Happy,Sleepy,
409,Relaxed,,,,
410,Relaxed,Euphoric,Happy,Uplifted,
413,Euphoric,Happy,Uplifted,Giggly,Aroused
414,Relaxed,Euphoric,Happy,Creative,Uplifted
415,Relaxed,Euphoric,Happy,Energetic,Uplifted
418,Relaxed,Hungry,Euphoric,Happy,Sleepy
419,Relaxed,Euphoric,Happy,Uplifted,Sleepy
420,Hungry,Euphoric,Happy,Energetic,Talkative
421,Relaxed,Euphoric,Creative,Tingly,Aroused
423,Relaxed,Euphoric,Happy,Uplifted,Focused
424,Relaxed,Euphoric,Happy,Creative,Sleepy
425,Relaxed,Euphoric,Happy,Creative,Uplifted
426,Relaxed,Euphoric,Happy,Creative,Uplifted
427,Relaxed,Euphoric,Happy,Uplifted,Sleepy
428,Relaxed,Euphoric,Happy,Uplifted,Tingly
429,Relaxed,Hungry,Euphoric,Happy,
430,Relaxed,Euphoric,Happy,Sleepy,Focused
431,Euphoric,Happy,Creative,Uplifted,Giggly
432,Relaxed,Euphoric,Happy,Uplifted,Tingly
433,Relaxed,Euphoric,Creative,Energetic,Focused
434,Relaxed,Happy,Talkative,Uplifted,Sleepy
435,Relaxed,Euphoric,Happy,Uplifted,Tingly
436,Relaxed,Hungry,Euphoric,Happy,Sleepy
437,Relaxed,Happy,Uplifted,Tingly,Sleepy
438,Relaxed,Euphoric,Happy,Uplifted,Giggly
439,Relaxed,Euphoric,Happy,Sleepy,
440,Relaxed,Euphoric,Creative,Focused,
441,Euphoric,Happy,Creative,Energetic,Giggly
443,Relaxed,Hungry,Happy,Uplifted,Sleepy
444,Relaxed,Euphoric,Happy,Uplifted,Focused
445,Relaxed,Hungry,Happy,Uplifted,Focused
446,Relaxed,Euphoric,Happy,Uplifted,Sleepy
448,Relaxed,Happy,Energetic,Uplifted,Focused
449,Hungry,Euphoric,Happy,Sleepy,Aroused
450,Relaxed,Euphoric,Happy,Uplifted,Focused
451,Relaxed,Euphoric,Happy,Creative,Giggly
452,Relaxed,Happy,Energetic,Uplifted,Giggly
453,Relaxed,Euphoric,Happy,Talkative,Uplifted
454,Euphoric,Creative,Energetic,Uplifted,Focused
455,Relaxed,Happy,Uplifted,Sleepy,
456,Relaxed,Euphoric,Happy,Energetic,Uplifted
457,Happy,Creative,Talkative,Sleepy,Aroused
458,Relaxed,Euphoric,Happy,Uplifted,
459,Relaxed,Euphoric,Happy,Uplifted,Tingly
461,Relaxed,Euphoric,Happy,Creative,Uplifted
462,Relaxed,Euphoric,Energetic,Focused,
463,Relaxed,Euphoric,Happy,Energetic,Talkative
464,Euphoric,Happy,Creative,Aroused,
465,Relaxed,Happy,Creative,Tingly,Sleepy
466,Euphoric,Happy,Creative,Energetic,Uplifted
467,Relaxed,Euphoric,Happy,Energetic,Uplifted
468,Relaxed,Happy,Talkative,Uplifted,Focused
469,Relaxed,Hungry,Euphoric,Uplifted,Aroused
470,Relaxed,Euphoric,Happy,Uplifted,
471,Relaxed,Euphoric,Happy,Uplifted,Focused
472,Euphoric,Happy,Energetic,Uplifted,Focused
473,Relaxed,Euphoric,Happy,Uplifted,Focused
474,Relaxed,Hungry,Happy,Uplifted,Sleepy
476,Relaxed,Hungry,Euphoric,Creative,Uplifted
477,Relaxed,Hungry,Euphoric,Happy,Uplifted
478,Relaxed,Euphoric,Happy,Energetic,Uplifted
479,Relaxed,Euphoric,Happy,Creative,Aroused
480,Relaxed,Euphoric,Happy,Creative,Uplifted
481,Relaxed,Euphoric,Aroused,,
482,Euphoric,Happy,Energetic,Uplifted,Focused
483,Euphoric,Happy,Creative,Energetic,Aroused
484,Hungry,Euphoric,Happy,Talkative,Giggly
485,Relaxed,Euphoric,Happy,Tingly,Sleepy
